,GM,LV,SG,FG,IM,LE,LP,ML,WT,LD
s03e02,,0.28940277900978,0.28940277900978,,,0.28940277900978,,,,
s03e03,0.26812555634980156,0.26812555634980156,0.42052291455690705,0.26812555634980156,,,,0.1390728162637116,0.26812555634980156,0.26812555634980156
s03e04,0.24879072658312154,0.24879072658312154,0.24879072658312154,0.24879072658312154,,0.4494011674548586,,0.24879072658312154,0.24879072658312154,0.24879072658312154
s03e05,0.25491623957302206,0.1852653395339279,0.25987088809909914,0.25491623957302206,,0.25491623957302206,,0.1852653395339279,0.41706448179963435,0.1852653395339279
s03e06,0.16958895074548117,,0.16958895074548117,0.16958895074548117,,,,,,
s03e07,0.22015245469252603,0.22015245469252603,0.22015245469252603,0.22015245469252603,,,,0.22015245469252603,0.22015245469252603,0.22015245469252603
s03e08,,,0.13016106087729756,,,,,,,
s03e09,0.23753193655947039,0.18882807467606225,0.23753193655947039,0.23753193655947039,,0.23753193655947039,,0.23753193655947039,0.34647329754797485,0.23753193655947039
s03e10,0.3667730778173442,0.3667730778173442,0.3906767442443751,0.3667730778173442,,0.33997665718517595,,0.23468429656309822,0.23468429656309822,0.23468429656309822
s03e11,,,0.40572824098331733,,,,,,,
s03e12,,,,,,,,,,
s03e13,0.22792281241750373,0.22792281241750373,,0.22792281241750373,,0.22792281241750373,,0.2236406098761406,0.20529486843008432,0.22792281241750373
s03e14,0.4413729551036484,0.4413729551036484,0.4413729551036484,0.4413729551036484,,0.3357625627293684,,0.4413729551036484,0.22786468585298827,0.4413729551036484
s03e15,0.25880162351751756,0.25880162351751756,0.25880162351751756,0.25880162351751756,,0.25880162351751756,,0.25880162351751756,0.3595535032167657,0.25880162351751756
s03e16,0.3395953171748138,0.3395953171748138,0.3395953171748138,0.3395953171748138,,0.3395953171748138,,0.3395953171748138,0.3395953171748138,0.3395953171748138
s03e17,0.31508160820713244,0.31508160820713244,0.31508160820713244,0.31508160820713244,,0.31508160820713244,,0.31508160820713244,0.395890827308036,0.31508160820713244
s03e18,0.22105950415082806,0.22105950415082806,0.22105950415082806,0.22105950415082806,,0.22105950415082806,0.17686790499154798,0.22105950415082806,0.20218163093987776,0.22105950415082806
s03e19,0.18397453227136923,0.18397453227136923,0.18397453227136923,0.18397453227136923,,0.18397453227136923,,0.18397453227136923,0.5277773016060535,0.18397453227136923
s03e20,0.37056325195024037,0.37056325195024037,0.37056325195024037,0.37056325195024037,,0.47569145707844557,,0.37056325195024037,0.5834036500986954,0.37056325195024037
s03e21,0.11880328810097766,0.11880328810097766,0.46515883118428514,0.11880328810097766,,,,,0.11880328810097766,
s03e22,0.2193186567998987,0.2193186567998987,0.2193186567998987,0.2193186567998987,,0.2193186567998987,,0.2193186567998987,0.5577652780519498,0.2193186567998987
