speaker1,speaker2,1,2,3,4,5,6,7,8,9
Creed,Kevin,0,66,140,219,153,170,408,155,405
Creed,Meredith,0,0,134,171,136,134,116,72,216
Creed,Michael,0,1719,604,1315,1324,1611,1431,0,0
Creed,Nate,0,0,0,0,0,0,0,91,0
Creed,Nellie,0,0,0,0,0,0,0,93,385
Creed,Oscar,0,46,24,159,231,252,127,161,238
Creed,Pam,0,78,121,188,148,461,709,367,864
Creed,Pete,0,0,0,0,0,0,0,0,149
Creed,Phyllis,0,90,105,96,166,243,108,137,318
Creed,Robert California,0,0,0,0,0,0,0,343,0
Creed,Ryan,0,31,20,412,8,95,178,72,0
Creed,Stanley,0,43,20,117,154,105,64,98,175
Creed,Toby,0,126,111,140,15,65,175,204,20
Danny,Dwight,0,0,0,0,0,0,607,0,0
Danny,Gabe,0,0,0,0,0,0,38,0,0
Danny,Jim,0,0,0,0,0,0,769,0,0
Danny,Kevin,0,0,0,0,0,0,113,0,0
Danny,Meredith,0,0,0,0,0,0,408,0,0
Danny,Michael,0,0,0,0,0,0,733,0,0
Danny,Oscar,0,0,0,0,0,0,50,0,0
Danny,Pam,0,0,0,0,0,0,219,0,0
Danny,Ryan,0,0,0,0,0,0,44,0,0
Danny,Todd Packer,0,0,0,0,0,0,93,0,0
Darryl,Deangelo,0,0,0,0,0,0,826,0,0
Darryl,Dwight,0,260,205,167,182,654,854,1521,1381
Darryl,Erin,0,0,0,0,0,0,294,559,685
Darryl,Gabe,0,0,0,0,0,250,1006,386,0
Darryl,Holly,0,0,0,0,404,0,40,0,0
Darryl,Host,0,0,0,0,0,0,0,216,0
Darryl,Jada,0,0,0,0,0,0,214,0,0
Darryl,Jan,0,0,0,36,0,0,0,0,0
Darryl,Jessica,0,0,0,0,0,0,0,62,0
Darryl,Jim,0,69,234,89,100,223,749,1365,2161
Darryl,Jo,0,0,0,0,0,294,147,0,0
Darryl,Karen,0,0,105,0,0,0,0,0,0
Darryl,Katy,0,15,0,0,0,0,0,0,0
Darryl,Kelly,0,0,145,494,22,230,281,514,0
Darryl,Kevin,0,176,337,217,39,114,890,1567,482
Darryl,Meredith,0,0,52,0,9,161,130,289,441
Darryl,Michael,0,1485,1656,1432,1818,1170,2909,0,0
Darryl,Nate,0,0,0,0,0,0,0,539,0
Darryl,Nellie,0,0,0,0,0,0,0,303,711
Darryl,Oscar,0,12,117,53,33,308,579,732,532
Darryl,Pam,0,74,230,313,34,262,1217,781,900
Darryl,Pete,0,0,0,0,0,0,0,0,176
Darryl,Phyllis,0,23,49,41,51,27,371,712,540
Darryl,Robert California,0,0,0,0,0,0,0,265,0
Darryl,Roy,0,551,23,0,0,0,0,0,0
Darryl,Ryan,0,0,134,160,12,157,412,193,0
Darryl,Stanley,0,0,49,41,26,45,244,258,170
Darryl,Toby,0,0,245,109,143,328,234,544,240
Darryl,Val,0,0,0,0,0,0,0,866,0
David Wallace,Dwight,0,0,48,0,1325,153,0,0,1051
David Wallace,Erin,0,0,0,0,0,216,0,54,197
David Wallace,Esther,0,0,0,0,0,0,0,0,30
David Wallace,Holly,0,0,0,0,242,0,0,0,0
David Wallace,Jan,0,0,284,0,0,0,0,0,0
David Wallace,Jim,0,0,260,0,390,854,0,147,679
David Wallace,Karen,0,0,90,0,0,0,0,0,0
David Wallace,Kelly,0,0,64,0,100,76,0,0,0
David Wallace,Kevin,0,0,0,0,100,39,0,0,127
David Wallace,Meredith,0,0,0,0,0,90,0,69,48
David Wallace,Michael,0,0,984,0,3750,2405,0,0,0
David Wallace,Nellie,0,0,0,0,0,0,0,0,41
David Wallace,Oscar,0,0,0,0,26,0,0,0,51
David Wallace,Pam,0,0,0,0,535,48,0,92,131
David Wallace,Pete,0,0,0,0,0,0,0,0,45
David Wallace,Phyllis,0,0,0,0,152,0,0,153,168
David Wallace,Robert California,0,0,0,0,0,0,0,521,0
David Wallace,Ryan,0,0,71,0,281,0,0,0,0
David Wallace,Stanley,0,0,0,0,11,37,0,92,0
David Wallace,Toby,0,0,0,0,23,0,0,0,75
Deangelo,Dwight,0,0,0,0,0,0,1092,0,0
Deangelo,Erin,0,0,0,0,0,0,852,0,0
Deangelo,Gabe,0,0,0,0,0,0,474,0,0
Deangelo,Jim,0,0,0,0,0,0,1591,0,0
Deangelo,Kelly,0,0,0,0,0,0,467,0,0
Deangelo,Kevin,0,0,0,0,0,0,1256,0,0
Deangelo,Meredith,0,0,0,0,0,0,258,0,0
Deangelo,Michael,0,0,0,0,0,0,3242,0,0
Deangelo,Oscar,0,0,0,0,0,0,714,0,0
Deangelo,Pam,0,0,0,0,0,0,863,0,0
Deangelo,Phyllis,0,0,0,0,0,0,690,0,0
Deangelo,Ryan,0,0,0,0,0,0,656,0,0
Deangelo,Stanley,0,0,0,0,0,0,345,0,0
Deangelo,Toby,0,0,0,0,0,0,198,0,0
Diane Kelly,Jan,0,0,0,73,0,0,0,0,0
Diane Kelly,Lester,0,0,0,595,0,0,0,0,0
Diane Kelly,Michael,0,0,0,745,0,0,0,0,0
Diane Kelly,Toby,0,0,0,213,0,0,0,0,0
Donna,Dwight,0,0,0,0,0,187,0,0,0
Donna,Jim,0,0,0,0,0,271,0,0,0
Donna,Kelly,0,0,0,0,0,59,0,0,0
Donna,Kevin,0,0,0,0,0,94,0,0,0
Donna,Michael,0,0,0,0,0,1440,0,0,0
Donna,Pam,0,0,0,0,0,342,0,0,0
Dwight,Eric,0,0,0,0,0,228,0,0,0
Dwight,Erin,0,0,0,0,530,871,1713,3033,2153
Dwight,Esther,0,0,0,0,0,0,0,0,643
Dwight,Gabe,0,0,0,0,0,968,697,1430,0
Dwight,Grotti,0,0,0,0,0,446,0,0,0
Dwight,Harry,0,0,0,0,0,0,0,582,0
Dwight,Holly,0,0,0,178,719,0,1074,0,0
Dwight,Isabel,0,0,0,0,0,533,0,0,0
Dwight,Jan,144,434,786,263,64,0,0,0,408
Dwight,Jessica,0,0,0,0,0,0,0,56,0
Dwight,Jim,1888,4566,3435,2525,6478,4793,6714,9638,6176
Dwight,Jo,0,0,0,0,0,323,658,0,0
Dwight,Josh,0,0,204,0,0,0,0,0,0
Dwight,Karen,0,0,781,194,0,0,0,0,0
Dwight,Katy,143,0,0,0,0,0,0,0,0
Dwight,Kelly,0,623,391,263,1350,962,1483,1436,0
Dwight,Kevin,79,519,594,111,1275,1300,1835,1985,1917
Dwight,Meredith,0,145,74,301,1017,825,755,714,1622
Dwight,Michael,3049,13394,10636,8187,14324,10130,6291,0,0
Dwight,Mr. Brown,464,0,0,0,0,0,0,0,0
Dwight,Nate,0,0,0,0,0,0,483,188,0
Dwight,Nellie,0,0,0,0,0,0,0,3875,3101
Dwight,Oscar,157,934,293,58,1595,1307,885,2195,2452
Dwight,Pam,638,2340,2604,990,2598,2071,4084,2810,4885
Dwight,Pete,0,0,0,0,0,0,0,0,422
Dwight,Phyllis,0,963,531,298,2453,1542,1265,1302,1840
Dwight,Robert California,0,0,0,0,0,0,0,2083,0
Dwight,Roy,101,385,8,0,0,0,0,0,0
Dwight,Ryan,166,968,1435,825,653,1108,819,2438,0
Dwight,Senator Lipton,0,0,0,0,0,0,0,253,0
Dwight,Stanley,386,556,676,290,1487,872,1009,1615,1484
Dwight,Susan,0,0,0,0,0,0,0,92,0
Dwight,Toby,0,553,500,235,714,894,680,587,553
Dwight,Todd Packer,0,68,0,0,0,0,308,1083,0
Dwight,Tony,0,0,186,0,0,0,0,0,0
Dwight,Trevor,0,0,0,0,0,0,0,0,754
Dwight,Val,0,0,0,0,0,0,0,138,0
Dwight,Walter,0,0,0,0,0,0,0,9,0
Eric,Jim,0,0,0,0,0,22,0,0,0
Eric,Kevin,0,0,0,0,0,12,0,0,0
Eric,Meredith,0,0,0,0,0,18,0,0,0
Eric,Michael,0,0,0,0,0,392,0,0,0
Eric,Pam,0,0,0,0,0,21,0,0,0
Eric,Phyllis,0,0,0,0,0,12,0,0,0
Eric,Toby,0,0,0,0,0,207,0,0,0
Erin,Esther,0,0,0,0,0,0,0,0,38
Erin,Gabe,0,0,0,0,0,261,1284,357,0
Erin,Grotti,0,0,0,0,0,50,0,0,0
