speaker1,speaker2,1,2,3,4,5,6,7,8,9
Darryl,Phyllis,0,5,5,8,6,3,47,76,51
Darryl,Robert California,0,0,0,0,0,0,0,27,0
Darryl,Roy,0,68,6,0,0,0,0,0,0
Darryl,Ryan,0,0,12,18,3,10,39,18,0
Darryl,Stanley,0,0,4,9,4,6,33,24,21
Darryl,Toby,0,0,21,12,14,31,22,49,24
Darryl,Val,0,0,0,0,0,0,0,117,0
David Wallace,Dwight,0,0,8,0,136,22,0,0,101
David Wallace,Erin,0,0,0,0,0,21,0,6,16
David Wallace,Esther,0,0,0,0,0,0,0,0,3
David Wallace,Holly,0,0,0,0,16,0,0,0,0
David Wallace,Jan,0,0,33,0,0,0,0,0,0
David Wallace,Jim,0,0,19,0,34,76,0,16,59
David Wallace,Karen,0,0,11,0,0,0,0,0,0
David Wallace,Kelly,0,0,3,0,10,10,0,0,0
David Wallace,Kevin,0,0,0,0,10,4,0,0,12
David Wallace,Meredith,0,0,0,0,0,10,0,4,4
David Wallace,Michael,0,0,97,0,314,215,0,0,0
David Wallace,Nellie,0,0,0,0,0,0,0,0,4
David Wallace,Oscar,0,0,0,0,3,0,0,0,4
David Wallace,Pam,0,0,0,0,54,7,0,10,17
David Wallace,Pete,0,0,0,0,0,0,0,0,2
David Wallace,Phyllis,0,0,0,0,16,0,0,16,13
David Wallace,Robert California,0,0,0,0,0,0,0,37,0
David Wallace,Ryan,0,0,3,0,25,0,0,0,0
David Wallace,Stanley,0,0,0,0,3,4,0,10,0
David Wallace,Toby,0,0,0,0,3,0,0,0,5
Deangelo,Dwight,0,0,0,0,0,0,79,0,0
Deangelo,Erin,0,0,0,0,0,0,63,0,0
Deangelo,Gabe,0,0,0,0,0,0,35,0,0
Deangelo,Jim,0,0,0,0,0,0,131,0,0
Deangelo,Kelly,0,0,0,0,0,0,34,0,0
Deangelo,Kevin,0,0,0,0,0,0,96,0,0
Deangelo,Meredith,0,0,0,0,0,0,18,0,0
Deangelo,Michael,0,0,0,0,0,0,265,0,0
Deangelo,Oscar,0,0,0,0,0,0,54,0,0
Deangelo,Pam,0,0,0,0,0,0,69,0,0
Deangelo,Phyllis,0,0,0,0,0,0,36,0,0
Deangelo,Ryan,0,0,0,0,0,0,42,0,0
Deangelo,Stanley,0,0,0,0,0,0,25,0,0
Deangelo,Toby,0,0,0,0,0,0,9,0,0
Diane Kelly,Jan,0,0,0,8,0,0,0,0,0
Diane Kelly,Lester,0,0,0,38,0,0,0,0,0
Diane Kelly,Michael,0,0,0,56,0,0,0,0,0
Diane Kelly,Toby,0,0,0,17,0,0,0,0,0
Donna,Dwight,0,0,0,0,0,22,0,0,0
Donna,Jim,0,0,0,0,0,44,0,0,0
Donna,Kelly,0,0,0,0,0,10,0,0,0
Donna,Kevin,0,0,0,0,0,12,0,0,0
Donna,Michael,0,0,0,0,0,178,0,0,0
Donna,Pam,0,0,0,0,0,44,0,0,0
Dwight,Eric,0,0,0,0,0,13,0,0,0
Dwight,Erin,0,0,0,0,56,95,145,292,193
Dwight,Esther,0,0,0,0,0,0,0,0,67
Dwight,Gabe,0,0,0,0,0,73,62,116,0
Dwight,Grotti,0,0,0,0,0,42,0,0,0
Dwight,Harry,0,0,0,0,0,0,0,54,0
Dwight,Holly,0,0,0,32,69,0,102,0,0
Dwight,Isabel,0,0,0,0,0,67,0,0,0
Dwight,Jan,18,57,93,33,10,0,0,0,50
Dwight,Jessica,0,0,0,0,0,0,0,14,0
Dwight,Jim,198,515,372,286,762,469,632,896,549
Dwight,Jo,0,0,0,0,0,30,56,0,0
Dwight,Josh,0,0,33,0,0,0,0,0,0
Dwight,Karen,0,0,97,18,0,0,0,0,0
Dwight,Katy,19,0,0,0,0,0,0,0,0
Dwight,Kelly,0,69,36,24,138,106,128,110,0
Dwight,Kevin,13,86,55,16,145,139,186,178,180
Dwight,Meredith,0,33,16,30,110,95,70,60,149
Dwight,Michael,263,1227,1030,687,1332,948,526,0,0
Dwight,Mr. Brown,31,0,0,0,0,0,0,0,0
Dwight,Nate,0,0,0,0,0,0,48,11,0
Dwight,Nellie,0,0,0,0,0,0,0,260,254
Dwight,Oscar,26,119,35,11,172,142,104,199,219
Dwight,Pam,85,291,252,127,296,220,359,277,451
Dwight,Pete,0,0,0,0,0,0,0,0,41
Dwight,Phyllis,0,137,61,32,260,155,142,126,152
Dwight,Robert California,0,0,0,0,0,0,0,157,0
Dwight,Roy,13,40,3,0,0,0,0,0,0
Dwight,Ryan,24,123,134,92,79,118,80,161,0
Dwight,Senator Lipton,0,0,0,0,0,0,0,30,0
Dwight,Stanley,43,64,67,39,181,99,89,132,114
Dwight,Susan,0,0,0,0,0,0,0,8,0
Dwight,Toby,0,66,47,33,79,89,49,46,65
Dwight,Todd Packer,0,11,0,0,0,0,35,90,0
Dwight,Tony,0,0,24,0,0,0,0,0,0
Dwight,Trevor,0,0,0,0,0,0,0,0,76
Dwight,Val,0,0,0,0,0,0,0,13,0
Dwight,Walter,0,0,0,0,0,0,0,2,0
Eric,Jim,0,0,0,0,0,2,0,0,0
Eric,Kevin,0,0,0,0,0,3,0,0,0
Eric,Meredith,0,0,0,0,0,2,0,0,0
Eric,Michael,0,0,0,0,0,38,0,0,0
Eric,Pam,0,0,0,0,0,6,0,0,0
Eric,Phyllis,0,0,0,0,0,2,0,0,0
Eric,Toby,0,0,0,0,0,33,0,0,0
