speaker1,speaker2,1,2,3,4,5,6,7,8,9
Darryl,Jessica,0,0,0,0,0,0,0,2,0
Darryl,Jim,0,3,2,6,4,2,13,25,30
Darryl,Jo,0,0,0,0,0,1,1,0,0
Darryl,Karen,0,0,2,0,0,0,0,0,0
Darryl,Katy,0,1,0,0,0,0,0,0,0
Darryl,Kelly,0,0,2,8,1,4,7,12,0
Darryl,Kevin,0,2,4,3,2,2,26,38,14
Darryl,Meredith,0,0,1,0,1,3,7,9,12
Darryl,Michael,0,16,14,10,21,10,28,0,0
Darryl,Nate,0,0,0,0,0,0,0,4,0
Darryl,Nellie,0,0,0,0,0,0,0,6,15
Darryl,Oscar,0,1,1,3,2,5,19,20,13
Darryl,Pam,0,4,3,8,1,4,24,20,15
Darryl,Pete,0,0,0,0,0,0,0,0,6
Darryl,Phyllis,0,2,1,2,2,1,15,23,11
Darryl,Robert California,0,0,0,0,0,0,0,6,0
Darryl,Roy,0,9,1,0,0,0,0,0,0
Darryl,Ryan,0,0,2,1,1,2,7,6,0
Darryl,Stanley,0,0,1,2,1,2,10,9,7
Darryl,Toby,0,0,2,2,1,4,4,10,6
Darryl,Val,0,0,0,0,0,0,0,19,0
David Wallace,Dwight,0,0,1,0,17,2,0,0,9
David Wallace,Erin,0,0,0,0,0,3,0,1,5
David Wallace,Esther,0,0,0,0,0,0,0,0,1
David Wallace,Holly,0,0,0,0,2,0,0,0,0
David Wallace,Jan,0,0,5,0,0,0,0,0,0
David Wallace,Jim,0,0,2,0,5,10,0,2,8
David Wallace,Karen,0,0,2,0,0,0,0,0,0
David Wallace,Kelly,0,0,1,0,1,1,0,0,0
David Wallace,Kevin,0,0,0,0,1,1,0,0,2
David Wallace,Meredith,0,0,0,0,0,1,0,1,1
David Wallace,Michael,0,0,9,0,30,19,0,0,0
David Wallace,Nellie,0,0,0,0,0,0,0,0,1
David Wallace,Oscar,0,0,0,0,1,0,0,0,2
David Wallace,Pam,0,0,0,0,6,1,0,1,3
David Wallace,Pete,0,0,0,0,0,0,0,0,1
David Wallace,Phyllis,0,0,0,0,3,0,0,2,2
David Wallace,Robert California,0,0,0,0,0,0,0,4,0
David Wallace,Ryan,0,0,1,0,4,0,0,0,0
David Wallace,Stanley,0,0,0,0,1,1,0,1,0
David Wallace,Toby,0,0,0,0,1,0,0,0,1
Deangelo,Dwight,0,0,0,0,0,0,9,0,0
Deangelo,Erin,0,0,0,0,0,0,9,0,0
Deangelo,Gabe,0,0,0,0,0,0,6,0,0
Deangelo,Jim,0,0,0,0,0,0,20,0,0
Deangelo,Kelly,0,0,0,0,0,0,5,0,0
Deangelo,Kevin,0,0,0,0,0,0,14,0,0
Deangelo,Meredith,0,0,0,0,0,0,5,0,0
Deangelo,Michael,0,0,0,0,0,0,29,0,0
Deangelo,Oscar,0,0,0,0,0,0,7,0,0
Deangelo,Pam,0,0,0,0,0,0,12,0,0
Deangelo,Phyllis,0,0,0,0,0,0,4,0,0
Deangelo,Ryan,0,0,0,0,0,0,7,0,0
Deangelo,Stanley,0,0,0,0,0,0,6,0,0
Deangelo,Toby,0,0,0,0,0,0,3,0,0
Diane Kelly,Jan,0,0,0,2,0,0,0,0,0
Diane Kelly,Lester,0,0,0,4,0,0,0,0,0
Diane Kelly,Michael,0,0,0,5,0,0,0,0,0
Diane Kelly,Toby,0,0,0,3,0,0,0,0,0
Donna,Dwight,0,0,0,0,0,4,0,0,0
Donna,Jim,0,0,0,0,0,7,0,0,0
Donna,Kelly,0,0,0,0,0,1,0,0,0
Donna,Kevin,0,0,0,0,0,1,0,0,0
Donna,Michael,0,0,0,0,0,18,0,0,0
Donna,Pam,0,0,0,0,0,5,0,0,0
Dwight,Eric,0,0,0,0,0,3,0,0,0
Dwight,Erin,0,0,0,0,7,21,28,51,33
Dwight,Esther,0,0,0,0,0,0,0,0,10
Dwight,Gabe,0,0,0,0,0,13,14,21,0
Dwight,Grotti,0,0,0,0,0,6,0,0,0
Dwight,Harry,0,0,0,0,0,0,0,8,0
Dwight,Holly,0,0,0,4,9,0,14,0,0
Dwight,Isabel,0,0,0,0,0,8,0,0,0
Dwight,Jan,1,6,11,4,3,0,0,0,3
Dwight,Jessica,0,0,0,0,0,0,0,2,0
Dwight,Jim,28,70,64,46,90,72,89,116,73
Dwight,Jo,0,0,0,0,0,4,4,0,0
Dwight,Josh,0,0,7,0,0,0,0,0,0
Dwight,Karen,0,0,17,3,0,0,0,0,0
Dwight,Katy,2,0,0,0,0,0,0,0,0
Dwight,Kelly,0,11,8,6,20,18,23,19,0
Dwight,Kevin,2,19,13,4,26,31,28,34,31
Dwight,Meredith,0,6,5,6,21,20,17,12,28
Dwight,Michael,25,145,136,76,116,109,59,0,0
Dwight,Mr. Brown,2,0,0,0,0,0,0,0,0
Dwight,Nate,0,0,0,0,0,0,5,1,0
Dwight,Nellie,0,0,0,0,0,0,0,40,40
Dwight,Oscar,5,23,10,3,29,31,17,33,41
Dwight,Pam,13,46,45,25,40,39,55,42,65
Dwight,Pete,0,0,0,0,0,0,0,0,11
Dwight,Phyllis,0,27,13,8,46,40,33,26,25
Dwight,Robert California,0,0,0,0,0,0,0,23,0
Dwight,Roy,3,6,1,0,0,0,0,0,0
Dwight,Ryan,5,20,25,12,11,19,16,26,0
Dwight,Senator Lipton,0,0,0,0,0,0,0,5,0
Dwight,Stanley,8,16,12,8,28,24,16,27,22
Dwight,Susan,0,0,0,0,0,0,0,1,0
Dwight,Toby,0,14,6,6,10,11,7,8,9
Dwight,Todd Packer,0,2,0,0,0,0,6,14,0
Dwight,Tony,0,0,2,0,0,0,0,0,0
Dwight,Trevor,0,0,0,0,0,0,0,0,9
Dwight,Val,0,0,0,0,0,0,0,2,0
Dwight,Walter,0,0,0,0,0,0,0,1,0
Eric,Jim,0,0,0,0,0,1,0,0,0
Eric,Kevin,0,0,0,0,0,1,0,0,0
Eric,Meredith,0,0,0,0,0,1,0,0,0
Eric,Michael,0,0,0,0,0,5,0,0,0
Eric,Pam,0,0,0,0,0,2,0,0,0
Eric,Phyllis,0,0,0,0,0,1,0,0,0
Eric,Toby,0,0,0,0,0,4,0,0,0
Erin,Esther,0,0,0,0,0,0,0,0,1
Erin,Gabe,0,0,0,0,0,3,22,6,0
Erin,Grotti,0,0,0,0,0,1,0,0,0
Erin,Harry,0,0,0,0,0,0,0,1,0
Erin,Helene,0,0,0,0,0,2,0,0,0
Erin,Holly,0,0,0,0,0,0,12,0,0
Erin,Host,0,0,0,0,0,0,0,2,0
Erin,Irene,0,0,0,0,0,0,0,8,0
Erin,Jessica,0,0,0,0,0,0,0,10,0
Erin,Jim,0,0,0,0,2,31,27,36,13
Erin,Jo,0,0,0,0,0,1,1,0,0
Erin,Kelly,0,0,0,0,3,15,16,8,0
Erin,Kevin,0,0,0,0,2,20,21,35,24
Erin,Meredith,0,0,0,0,1,7,11,9,23
Erin,Michael,0,0,0,0,8,62,48,0,0
Erin,Nate,0,0,0,0,0,0,1,0,0
Erin,Nellie,0,0,0,0,0,0,0,10,28
Erin,Oscar,0,0,0,0,4,17,19,21,17
Erin,Pam,0,0,0,0,4,30,37,20,29
Erin,Pete,0,0,0,0,0,0,0,0,46
Erin,Phyllis,0,0,0,0,3,15,24,16,22
Erin,Robert California,0,0,0,0,0,0,0,21,0
Erin,Ryan,0,0,0,0,0,9,14,17,0
Erin,Senator Lipton,0,0,0,0,0,0,0,5,0
Erin,Stanley,0,0,0,0,2,9,12,14,14
Erin,Susan,0,0,0,0,0,0,0,5,0
Erin,Toby,0,0,0,0,1,4,7,3,3
Erin,Todd Packer,0,0,0,0,0,0,0,4,0
Erin,Val,0,0,0,0,0,0,0,2,0
Erin,Walter,0,0,0,0,0,0,0,1,0
Esther,Jim,0,0,0,0,0,0,0,0,1
Esther,Nellie,0,0,0,0,0,0,0,0,3
Esther,Oscar,0,0,0,0,0,0,0,0,1
Gabe,Holly,0,0,0,0,0,0,3,0,0
Gabe,Jim,0,0,0,0,0,8,23,18,0
Gabe,Jo,0,0,0,0,0,4,6,0,0
Gabe,Kelly,0,0,0,0,0,4,9,2,0
Gabe,Kevin,0,0,0,0,0,6,16,5,0
Gabe,Meredith,0,0,0,0,0,2,11,2,0
Gabe,Michael,0,0,0,0,0,11,26,0,0
